disease_to_gene_occurrences,disease_to_gene_pub_counts,disease_to_int_to_gen_occurrences,disease_to_int_to_gene_pubs,disease_symtpoms_gene_related_to,disease_symtpoms_gene_related_to_count,unique_symptoms_count,gene_to_symptoms_pub_counts,gene_edges_out
1,0,4,0,"['CATARACT', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'FEVER', 'CATARACT', 'CATARACT', 'CATARACT', 'CATARACT', 'CATARACT', 'PAPILLOMA', 'ATAXIA']",10,5,7,1117
1,0,0,0,"['ABNORMALITY OF COGNITION', 'ATAXIA', 'ATAXIA', 'ATAXIA', 'TELANGIECTASIA', 'NEUROPATHY']",6,4,3,401
1,0,12,0,"['HEARING LOSS, SENSORINEURAL', 'HEARING LOSS, SENSORINEURAL', 'CROSS-EYED', 'CROSS-EYED', 'EPILEPSY', 'EPILEPSY', 'ATAXIA', 'ATAXIA', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'FAILURE TO THRIVE', 'FAILURE TO THRIVE', 'DEVELOPMENTAL REGRESSION', 'DEVELOPMENTAL REGRESSION', 'ABNORMALLY SMALL CRANIUM', 'MALIGNANT MELANOMA', 'ATAXIA', 'NEUROPATHY']",18,10,0,441
1,0,18,0,"['ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'CONGENITAL DEAFNESS', 'CONGENITAL DEAFNESS', 'MALIGNANT MELANOMA', 'PAPILLOMA']",6,4,8,1119
1,0,8,0,"['DELAYED BONE AGE', 'DEVELOPMENTAL REGRESSION', 'ABNORMAL EEG', 'OPTIC ATROPHY', 'FAILURE TO THRIVE', 'NEUROPATHY', 'CROSS-EYED', 'ABNORMALLY SMALL CRANIUM', 'FEVER', 'EPILEPSY', 'MALIGNANT MELANOMA', 'ATAXIA', 'NEUROPATHY', 'BLEPHARITIS']",14,13,55,458
1,0,5,0,"['ABNORMALLY SMALL CRANIUM', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'EPILEPSY', 'MALIGNANT MELANOMA']",4,4,0,422
1,0,30,0,"['DECREASED BODY HEIGHT', 'ATAXIA', 'EPILEPSY', 'CATARACT', 'ATAXIA']",5,4,0,557
1,0,3,0,"['CRYPTORCHIDISM', 'CRYPTORCHIDISM', 'EPILEPSY', 'ATAXIA']",4,3,4,468
1,0,190,246,"['CROSS-EYED', 'CROSS-EYED', 'CONJUNCTIVAL TELANGIECTASES', 'CONJUNCTIVAL TELANGIECTASES', 'EPILEPSY', 'EPILEPSY', 'ATAXIA', 'ATAXIA', 'ABSENT OR DECREASED DEEP TENDON REFLEXES', 'ABSENT OR DECREASED DEEP TENDON REFLEXES', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'ABNORMAL TISSUE MASS', 'ABNORMALITY OF COGNITION', 'TELANGIECTASIA OF THE SKIN', 'FAILURE TO THRIVE', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'FATIGUE', 'FEVER', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'TELANGIECTASIA', 'TELANGIECTASIA', 'ATAXIA', 'ATAXIA', 'CATARACT', 'CATARACT']",31,16,2619,3707
1,0,68,0,"['EPILEPSY', 'ABNORMAL EEG', 'CROSS-EYED', 'ALOPECIA', 'FAILURE TO THRIVE', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'CATARACT', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'TELANGIECTASIA', 'NEUROPATHY']",13,10,7,2816
1,0,8,0,"['DEVELOPMENTAL REGRESSION', 'CROSS-EYED', 'HEARING LOSS, SENSORINEURAL', 'ABNORMALLY SMALL CRANIUM', 'FAILURE TO THRIVE', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'ATAXIA', 'EPILEPSY', 'MALIGNANT MELANOMA', 'NEUROPATHY', 'ATAXIA']",11,10,0,600
1,0,29,0,"['ATAXIA', 'CROSS-EYED', 'FAILURE TO THRIVE', 'CRYPTORCHIDISM', 'EPILEPSY', 'MALIGNANT MELANOMA', 'NEUROPATHY', 'ATAXIA']",8,7,2,629
1,0,18,0,"['FLAT, DISCOLORED AREA OF SKIN', 'DECREASED BODY HEIGHT', 'ABNORMAL TISSUE MASS', 'BLEPHARITIS', 'ABNORMAL DENTITION', 'TELANGIECTASIA OF THE SKIN', 'ALOPECIA', 'CONGENITAL DEAFNESS', 'HYPOPIGMENTED SKIN PATCHES', 'HYPERMELANOTIC MACULE', 'CATARACT', 'TELANGIECTASIA', 'ATAXIA', 'ECTROPION', 'MALIGNANT MELANOMA', 'ENTROPION', 'ALOPECIA']",17,16,0,628
1,0,59,0,"['INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'CEREBRAL CORTEX ATROPHY', 'FATIGUE', 'CATARACT', 'CATARACT', 'HEARING IMPAIRMENT']",6,5,30,2925
1,0,4,0,"['ABNORMALLY SMALL CRANIUM', 'EPILEPSY', 'ATAXIA']",3,3,0,390
1,0,6,0,"['HYPERKERATOSIS', 'CUTANEOUS PHOTOSENSITIVITY', 'ERYTHEMA', 'NEUROPATHY']",4,4,0,549
1,0,113,103,"['DECREASED BODY HEIGHT', 'MALIGNANT MELANOMA', 'NEUROPATHY']",3,3,0,678
1,0,11,0,"['HEARING LOSS, SENSORINEURAL', 'HEARING LOSS, SENSORINEURAL', 'CATARACT', 'CATARACT', 'EPILEPSY', 'EPILEPSY', 'ABNORMALITY OF COGNITION', 'ABNORMALITY OF COGNITION', 'ATAXIA', 'FAILURE TO THRIVE', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'DEVELOPMENTAL REGRESSION', 'ABNORMALLY SMALL CRANIUM', 'NEUROPATHY', 'CONGENITAL DEAFNESS', 'OPTIC ATROPHY', 'FATIGUE', 'ABNORMALITY OF EXTRAPYRAMIDAL MOTOR FUNCTION', 'ATAXIA', 'ATAXIA', 'ATAXIA', 'FEVER', 'PERIPHERAL NEUROPATHY', 'NEUROPATHY', 'SQUINT', 'TELANGIECTASIA']",26,18,449,863
1,0,54,0,"['ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'DELAYED BONE AGE', 'DELAYED BONE AGE', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'CROSS-EYED', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PERIPHERAL NEUROPATHY', 'ATAXIA']",13,7,14,2089
1,0,63,0,"['DECREASED TESTICULAR SIZE', 'DECREASED BODY HEIGHT', 'ABNORMAL TISSUE MASS', 'CROSS-EYED', 'ABNORMALLY SMALL CRANIUM', 'DECREASED ACTIVITY OF GONADS', 'CRYPTORCHIDISM', 'CONGENITAL DEAFNESS', 'HYPOPIGMENTED SKIN PATCHES', 'CATARACT', 'TELANGIECTASIA', 'ATAXIA', 'MALIGNANT MELANOMA']",13,13,0,597
1,0,33,0,"['DECREASED BODY HEIGHT', 'ATAXIA', 'ABNORMALLY SMALL CRANIUM', 'ALOPECIA', 'CONGENITAL DEAFNESS', 'DRY SKIN', 'CRYPTORCHIDISM', 'ABNORMAL TISSUE MASS', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'FLAT, DISCOLORED AREA OF SKIN', 'ATROPHIC SKIN', 'CEREBRAL CORTEX ATROPHY', 'BLEPHARITIS', 'ABNORMAL DENTITION', 'TELANGIECTASIA OF THE SKIN', 'FAILURE TO THRIVE', 'HYPOPIGMENTED SKIN PATCHES', 'HYPERMELANOTIC MACULE', 'CATARACT', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'TELANGIECTASIA', 'SQUINT', 'ATAXIA', 'ECTROPION', 'ALOPECIA']",26,23,57,678
1,0,128,359,"['CANCER OF SKIN PIGMENT CELLS', 'CROSS-EYED', 'FEVER', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PAPILLOMA', 'PAPILLOMA', 'ATAXIA', 'NEUROPATHY']",14,7,7,2378
1,0,38,0,"['EPILEPSY', 'DECREASED BODY HEIGHT', 'CROSS-EYED', 'ABNORMALLY SMALL CRANIUM', 'ABNORMAL DENTITION', 'FAILURE TO THRIVE', 'CRYPTORCHIDISM', 'CONGENITAL DEAFNESS', 'CATARACT', 'MALIGNANT MELANOMA']",10,10,0,599
1,0,8,0,"['ABSENT OR DECREASED DEEP TENDON REFLEXES', 'ALOPECIA', 'PAPILLOMA']",3,3,0,485
1,0,46,0,"['DEVELOPMENTAL REGRESSION', 'FATIGUE', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'EPILEPSY', 'HYPERMELANOTIC MACULE', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ATAXIA', 'TELANGIECTASIA', 'NEUROPATHY']",10,9,1,799
1,0,36,0,"['CRYPTORCHIDISM', 'CRYPTORCHIDISM', 'CRYPTORCHIDISM', 'ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'CONGENITAL DEAFNESS', 'CROSS-EYED', 'EPILEPSY', 'EPILEPSY', 'EPILEPSY', 'DELAYED BONE AGE', 'DELAYED BONE AGE', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'FAILURE TO THRIVE', 'FAILURE TO THRIVE', 'ALOPECIA', 'MALIGNANT MELANOMA']",20,10,22,816
1,0,78,0,"['DECREASED BODY HEIGHT', 'ABNORMALLY SMALL CRANIUM', 'ATAXIA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA']",5,4,0,1572
1,0,92,0,"['ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'ABNORMAL TISSUE MASS', 'CUTANEOUS PHOTOSENSITIVITY', 'FRECKLING', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'TELANGIECTASIA', 'TELANGIECTASIA', 'ATAXIA']",12,8,186,1185
1,0,37,0,"['DECREASED BODY HEIGHT', 'CROSS-EYED', 'HEARING LOSS, SENSORINEURAL', 'ABNORMALLY SMALL CRANIUM', 'OPTIC ATROPHY', 'CRYPTORCHIDISM', 'CONGENITAL DEAFNESS', 'CATARACT']",8,8,0,483
1,0,62,0,"['EPILEPSY', 'ABNORMALLY SMALL CRANIUM', 'CATARACT', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PAPILLOMA', 'ATAXIA']",8,6,5,3682
1,0,33,0,"['DECREASED BODY HEIGHT', 'DELAYED BONE AGE', 'ABNORMALLY SMALL CRANIUM', 'ABNORMALITY OF COGNITION', 'TELANGIECTASIA', 'NEUROPATHY']",6,6,0,687
1,0,47,0,"['PAPILLOMA', 'PAPILLOMA', 'ATAXIA', 'TELANGIECTASIA']",4,3,0,670
1,0,37,0,"['HEARING LOSS, SENSORINEURAL', 'HEARING LOSS, SENSORINEURAL', 'OPTIC ATROPHY', 'OPTIC ATROPHY', 'EPILEPSY', 'EPILEPSY', 'ATAXIA', 'ATAXIA', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'FAILURE TO THRIVE', 'FAILURE TO THRIVE', 'FATIGUE', 'CROSS-EYED', 'ABNORMALITY OF COGNITION', 'DECREASED BODY HEIGHT', 'NEUROPATHY', 'DEVELOPMENTAL REGRESSION', 'CONGENITAL DEAFNESS', 'MALIGNANT MELANOMA']",20,14,2,1195
1,0,70,0,"['FATIGUE', 'ABNORMALITY OF COGNITION', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'MALIGNANT MELANOMA', 'CATARACT']",5,5,1,923
1,0,8,0,"['DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT']",2,1,1,391
1,0,74,0,"['CRYPTORCHIDISM', 'CRYPTORCHIDISM', 'CONGENITAL DEAFNESS', 'CONGENITAL DEAFNESS', 'CONGENITAL DEAFNESS', 'BLEPHARITIS', 'BLEPHARITIS', 'BLEPHARITIS', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'HYPERKERATOSIS', 'HYPERKERATOSIS', 'ADHESION OF EYELIDS', 'ADHESION OF EYELIDS', 'THIN SKIN', 'THIN SKIN', 'THIN SKIN', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'DRY SKIN', 'DRY SKIN', 'CUTANEOUS PHOTOSENSITIVITY', 'CUTANEOUS PHOTOSENSITIVITY', 'FRECKLING', 'FRECKLING', 'ATROPHIC SKIN', 'ATROPHIC SKIN', 'HEARING LOSS, SENSORINEURAL', 'ALOPECIA', 'CORNEAL INFLAMMATION', 'ABNORMAL DENTITION', 'ENTROPION', 'BEAUTY MARK', 'PAPILLOMA', 'PAPILLOMA', 'PAPILLOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PTERYGIUM', 'MELANOCYTIC NEVUS']",41,22,78,3136
1,0,39,0,"['ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'DEVELOPMENTAL REGRESSION', 'FATIGUE', 'CROSS-EYED', 'CRYPTORCHIDISM', 'EPILEPSY', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MENTAL IMPAIRMENT', 'PAPILLOMA']",11,9,5,1247
1,0,9,0,"['INTELLECTUAL DISABILITY, PROGRESSIVE', 'INTELLECTUAL DISABILITY, PROGRESSIVE', 'NEUROPATHY', 'ABNORMALLY SMALL CRANIUM', 'FAILURE TO THRIVE', 'EPILEPSY', 'CONGENITAL DEAFNESS']",7,6,21,570
1,0,97,0,"['ABNORMAL DENTITION', 'DECREASED BODY HEIGHT', 'NEUROPATHY', 'ERYTHEMA', 'FEVER', 'FAILURE TO THRIVE', 'ATAXIA', 'EPILEPSY', 'CONGENITAL DEAFNESS', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'FEVER', 'FEVER', 'PAPILLOMA', 'TELANGIECTASIA']",21,12,14,6659
1,0,8,0,"['CRYPTORCHIDISM', 'CRYPTORCHIDISM', 'DELAYED BONE AGE', 'DELAYED BONE AGE', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'CROSS-EYED', 'ALOPECIA', 'CONGENITAL DEAFNESS', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ALOPECIA']",15,7,16,1771
1,0,30,0,"['DECREASED BODY HEIGHT', 'ABNORMALLY SMALL CRANIUM', 'OPTIC ATROPHY', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'ATAXIA', 'EPILEPSY', 'CONGENITAL DEAFNESS', 'FEVER', 'ATAXIA', 'SQUINT']",10,9,1,836
1,0,25,0,"['ABNORMALLY SMALL CRANIUM', 'CRYPTORCHIDISM', 'DECREASED BODY HEIGHT', 'CROSS-EYED', 'ABNORMAL DENTITION', 'FAILURE TO THRIVE', 'MALIGNANT MELANOMA']",7,7,0,1087
1,0,95,0,"['EPILEPSY', 'EPILEPSY', 'ABNORMAL TISSUE MASS', 'FAILURE TO THRIVE', 'TELANGIECTASIA OF THE SKIN', 'OPTIC ATROPHY', 'HYPERMELANOTIC MACULE', 'CONGENITAL DEAFNESS', 'CATARACT', 'BEAUTY MARK', 'FLAT, DISCOLORED AREA OF SKIN', 'DECREASED BODY HEIGHT', 'CANCER OF SKIN PIGMENT CELLS', 'PAPILLOMA', 'FATIGUE', 'ABNORMALITY OF COGNITION', 'FEVER', 'ATAXIA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ATAXIA', 'TELANGIECTASIA', 'PAPILLOMA', 'NEUROPATHY']",27,20,14,7686
1,0,63,0,"['DECREASED BODY HEIGHT', 'ABNORMALLY SMALL CRANIUM', 'ATAXIA', 'MALIGNANT MELANOMA']",4,4,0,580
1,0,19,0,"['EPILEPSY', 'EPILEPSY', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PAPILLOMA']",9,3,10,1049
1,0,31,0,"['ABNORMALLY SMALL CRANIUM', 'DECREASED BODY HEIGHT', 'ALOPECIA', 'ALOPECIA', 'ALOPECIA', 'MALIGNANT MELANOMA', 'PAPILLOMA', 'ATAXIA']",8,6,5,1164
1,0,10,0,"['CROSS-EYED', 'CROSS-EYED', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'DIFFUSELY THICKENED SKIN', 'FRECKLING', 'HYPERKERATOSIS', 'CANCER OF SKIN PIGMENT CELLS', 'CUTANEOUS PHOTOSENSITIVITY', 'BEAUTY MARK', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ATAXIA']",18,10,118,1341
1,0,326,800,"['ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'TELANGIECTASIA']",8,3,8,1479
1,0,43,0,"['CRYPTORCHIDISM', 'CRYPTORCHIDISM', 'ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'CONGENITAL DEAFNESS', 'CONGENITAL DEAFNESS', 'CROSS-EYED', 'CROSS-EYED', 'EPILEPSY', 'EPILEPSY', 'DELAYED BONE AGE', 'DELAYED BONE AGE', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'ATAXIA', 'ABNORMAL DENTITION', 'ABNORMALITY OF COGNITION', 'CATARACT', 'FEVER', 'MALIGNANT MELANOMA']",20,13,66,1102
1,0,32,0,"['DRY SKIN', 'ABNORMALLY SMALL CRANIUM', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'DECREASED BODY HEIGHT', 'DEVELOPMENTAL REGRESSION', 'ABNORMALITY OF EXTRAPYRAMIDAL MOTOR FUNCTION', 'EPILEPSY', 'TELANGIECTASIA', 'ATAXIA']",9,9,0,713
1,0,19,0,"['CRYPTORCHIDISM', 'CRYPTORCHIDISM', 'CROSS-EYED', 'CROSS-EYED', 'DELAYED BONE AGE', 'DELAYED BONE AGE', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'ABNORMALITY OF COGNITION', 'MALIGNANT MELANOMA', 'ATAXIA']",11,7,28,521
1,0,188,399,"['CRYPTORCHIDISM', 'CRYPTORCHIDISM', 'ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'CONGENITAL DEAFNESS', 'CONGENITAL DEAFNESS', 'CROSS-EYED', 'CROSS-EYED', 'CATARACT', 'CATARACT', 'EPILEPSY', 'EPILEPSY', 'FAILURE TO THRIVE', 'FAILURE TO THRIVE', 'ABNORMAL EEG', 'ABNORMAL EEG', 'DELAYED BONE AGE', 'DELAYED BONE AGE', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'ABNORMAL TISSUE MASS', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'CATARACT']",26,12,74,3958
1,0,21,0,"['ABNORMAL TISSUE MASS', 'FATIGUE', 'FEVER', 'MALIGNANT MELANOMA']",4,4,0,962
1,0,59,0,"['CROSS-EYED', 'ABNORMAL DENTITION', 'CRYPTORCHIDISM', 'MALIGNANT MELANOMA', 'ATAXIA']",5,5,0,1288
1,0,71,0,"['ABNORMALLY SMALL CRANIUM', 'FAILURE TO THRIVE', 'ATAXIA', 'NEUROPATHY']",4,4,0,691
1,0,96,0,"['ADHESION OF EYELIDS', 'ABNORMAL TISSUE MASS', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'TELANGIECTASIA', 'PAPILLOMA']",9,5,91,1693
1,0,54,0,"['ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'CANCER OF SKIN PIGMENT CELLS', 'DECREASED BODY HEIGHT', 'ABNORMAL TISSUE MASS', 'CROSS-EYED', 'DECREASED ACTIVITY OF GONADS', 'FAILURE TO THRIVE', 'CRYPTORCHIDISM', 'CONGENITAL DEAFNESS', 'HYPOPIGMENTED SKIN PATCHES', 'CATARACT', 'TELANGIECTASIA', 'ATAXIA', 'MALIGNANT MELANOMA']",15,14,8,795
1,0,18,0,"['EPILEPSY', 'EPILEPSY', 'ABNORMALLY SMALL CRANIUM', 'NEUROPATHY', 'CATARACT', 'ATAXIA']",6,5,2,492
1,0,21,0,"['CEREBRAL CORTEX ATROPHY', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'ATAXIA', 'CONGENITAL DEAFNESS', 'TELANGIECTASIA', 'MALIGNANT MELANOMA', 'PAPILLOMA', 'ATAXIA']",8,7,0,700
1,0,62,0,"['EPILEPSY', 'EPILEPSY', 'PAPILLOMA', 'MALIGNANT MELANOMA', 'ATAXIA']",5,4,0,1278
1,0,122,202,"['CANCER OF SKIN PIGMENT CELLS', 'ATAXIA', 'MALIGNANT MELANOMA']",3,3,5,714
1,0,44,0,"['ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'OPTIC ATROPHY', 'OPTIC ATROPHY', 'DRY SKIN', 'DIFFUSELY THICKENED SKIN', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'EPILEPSY', 'CATARACT', 'TELANGIECTASIA', 'MALIGNANT MELANOMA', 'ATAXIA']",12,10,4,1316
1,0,54,0,"['CROSS-EYED', 'CROSS-EYED', 'EPILEPSY', 'EPILEPSY', 'ATAXIA', 'ATAXIA', 'FAILURE TO THRIVE', 'FAILURE TO THRIVE']",8,4,4,810
1,0,12,0,"['HYPERKERATOSIS', 'CATARACT', 'MALIGNANT MELANOMA']",3,3,0,793
1,0,83,0,"['FAILURE TO THRIVE', 'DECREASED BODY HEIGHT', 'ABNORMAL TISSUE MASS', 'CROSS-EYED', 'ABNORMALLY SMALL CRANIUM', 'DECREASED ACTIVITY OF GONADS', 'CRYPTORCHIDISM', 'CONGENITAL DEAFNESS', 'HYPOPIGMENTED SKIN PATCHES', 'CATARACT', 'ATAXIA', 'MALIGNANT MELANOMA', 'CATARACT']",13,12,19,897
1,0,9,0,"['ABNORMAL EEG', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'EPILEPSY', 'MALIGNANT MELANOMA', 'NEUROPATHY']",5,5,0,473
1,0,161,1380,"['CANCER OF SKIN PIGMENT CELLS', 'ABNORMAL TISSUE MASS', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PTERYGIUM', 'TELANGIECTASIA', 'NEUROPATHY']",11,6,9,4363
1,0,16,0,"['EPILEPSY', 'ATAXIA']",2,2,1,383
1,0,36,0,"['ABNORMAL DENTITION', 'ABNORMAL TISSUE MASS', 'CONGENITAL DEAFNESS', 'ARTHRALGIA', 'FATIGUE', 'FEVER', 'ATAXIA', 'HYPERMELANOTIC MACULE', 'CATARACT', 'ECTROPION', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PAPILLOMA']",16,12,102,2693
1,0,52,0,"['NEUROPATHY', 'ARTHRALGIA', 'FATIGUE', 'FEVER', 'FAILURE TO THRIVE', 'EPILEPSY', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'TELANGIECTASIA', 'ATAXIA']",11,9,3,1349
1,0,10,0,"['FEVER', 'MALIGNANT MELANOMA']",2,2,0,847
1,0,192,279,"['ABNORMAL DENTITION', 'CONGENITAL DEAFNESS', 'CROSS-EYED', 'CROSS-EYED', 'HYPERKERATOSIS', 'HYPERKERATOSIS', 'EPILEPSY', 'EPILEPSY', 'FAILURE TO THRIVE', 'CEREBRAL CORTEX ATROPHY', 'CEREBRAL CORTEX ATROPHY', 'DELAYED BONE AGE', 'DELAYED BONE AGE', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'CRYPTORCHIDISM', 'BEAUTY MARK', 'HEARING LOSS, SENSORINEURAL', 'ABNORMAL EEG', 'DRY SKIN', 'OPTIC ATROPHY', 'CANCER OF SKIN PIGMENT CELLS', 'ABNORMAL TISSUE MASS', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ATAXIA', 'TELANGIECTASIA']",30,20,154,1811
1,0,3,0,"['FAILURE TO THRIVE', 'FAILURE TO THRIVE', 'CATARACT']",3,2,16,427
1,0,81,0,"['INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'FATIGUE', 'NEUROPATHY', 'NEUROPATHY']",4,3,0,1254
1,0,79,0,"['FATIGUE', 'FEVER', 'MALIGNANT MELANOMA', 'ATAXIA', 'CATARACT']",5,5,0,1600
1,0,20,0,"['CROSS-EYED', 'ATAXIA', 'ATAXIA', 'ATAXIA', 'ATAXIA', 'ATAXIA', 'ATAXIA', 'TELANGIECTASIA', 'NEUROPATHY']",9,4,2,523
1,0,247,339,"['ABNORMAL TISSUE MASS', 'FEVER', 'MALIGNANT MELANOMA', 'ATAXIA']",4,4,0,789
1,0,26,0,"['DECREASED BODY HEIGHT', 'DEVELOPMENTAL REGRESSION', 'CEREBRAL CORTEX ATROPHY', 'ABNORMALITY OF EXTRAPYRAMIDAL MOTOR FUNCTION', 'CROSS-EYED', 'BLEPHARITIS', 'ABNORMAL DENTITION', 'EPILEPSY', 'CATARACT', 'PERIPHERAL NEUROPATHY', 'HEARING IMPAIRMENT', 'TELANGIECTASIA', 'CATARACT', 'ATAXIA']",14,13,2,1930
1,0,8,0,"['HYPERKERATOSIS', 'ABNORMAL DENTITION', 'ABNORMALITY OF COGNITION', 'ALOPECIA', 'CATARACT', 'FEVER', 'MALIGNANT MELANOMA', 'CATARACT']",8,7,1,792
