,bioprocess_count
ENDOTHELIAL TUBE MORPHOGENESIS,1
POSITIVE REGULATION OF MESENCHYMAL STEM CELL MIGRATION,1
POSITIVE REGULATION OF MACROPHAGE MIGRATION INHIBITORY FACTOR SIGNALING PATHWAY,1
C1150177,1
C1523935,1
C1154714,1
CHONDROCLAST MATURATION,1
REGULATION OF WOUND HEALING,1
POSITIVE REGULATION OF RECEPTOR BINDING,1
NEGATIVE REGULATION OF EPITHELIAL CELL DIFFERENTIATION INVOLVED IN KIDNEY DEVELOPMENT,1
NEGATIVE REGULATION OF CATION CHANNEL ACTIVITY,1
NEGATIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC SIGNALING PATHWAY,1
C1148601,1
C1154676,1
C1154964,1
C1155672,1
C1156307,1
C1156966,1
C1157254,1
C1157303,1
C1157360,1
C1158391,1
C1158486,1
C1158693,1
C1160050,1
C1257784,1
C1326611,1
C1327024,1
C1327242,1
C1514925,1
C1518591,1
C1523225,1
C1523647,1
C1563690,1
C1159620,1
C1159649,1
C1159737,1
C1159747,1
C1523936,1
C1371607,1
C1157549,1
C1323372,1
C1514664,1
EQUATOR SPECIFICATION,1
9-CIS-RETINOIC ACID ANABOLISM,1
ESTABLISHMENT AND MAINTENANCE OF GOLGI LOCALIZATION,1
SPERM CHROMATIN CONDENSATION,1
DOUBLE FERTILIZATION,1
DOWN REGULATION OF SIGNAL TRANSDUCTION,1
PRIMARY SHOOT MERISTEM DEVELOPMENT,1
PANCREAS DEVELOPMENT,1
MERCURY ION TRANSPORT,1
NUCLEOTIDE BREAKDOWN,1
RESPONSE TO CHEMICAL,1
MAMMALIAN OOGENESIS STAGE 3,1
ACID SECRETION,1
DIESTRUS,1
STARTLE RESPONSE,1
"BETA-1,4-LINKED N-ACETYLGLUCOSAMINE CATABOLIC PROCESS",1
MOTOR LEARNING,1
ESTRUS,1
LYMPHOCYTE MIGRATION,1
METESTRUS,1
"GENE SILENCING BY MIRNA, PRODUCTION OF MIRNAS",1
SYMMETRIC CELL DIVISION,1
REGULATION OF BLOOD CELL BIOSYNTHESIS,1
LACTATE ANABOLISM,1
NEUROTRANSMITTER BIOSYNTHESIS AND STORAGE,1
VITAMIN B6 METABOLIC PROCESS,1
ACROSOME ASSEMBLY,1
GLYCOSPHINGOLIPID ANABOLISM,1
NEUTROCYTE AGGREGATION,1
PROTEIN AMINO ACID GLYCOSYLATION,1
RETROGRADE AXON CARGO TRANSPORT,1
FEMALE MEIOSIS I,1
IMMEDIATE HYPERSENSITIVITY RESPONSE,1
MITOCHONDRIAL DNA REPLICATION,1
HEART GROWTH,1
COA METABOLISM,1
COA BIOSYNTHESIS,1
DOWN REGULATION OF POSTTRANSCRIPTIONAL GENE SILENCING BY SIRNA,1
PACHYTENE,1
NEUROFIBRILLARY TANGLE ASSEMBLY,1
GOOSEBUMP REFLEX,1
MEIOTIC PROPHASE I,1
KERATINOCYTE DEVELOPMENT,1
CARDIAC MUSCLE CELL PROLIFERATION,1
SWIMMING BEHAVIOR,1
CHORION DEVELOPMENT,1
OOCYTE CELL DIFFERENTIATION,1
EXPLORATION BEHAVIOR,1
IMMUNE CELL HOMEOSTASIS,1
SCHWANN CELL DEVELOPMENT,1
MEIOSIS,1
SEROTONIN TRANSPORT,1
GHRELIN SECRETION,1
FORMATION OF SYMBIONT INVASIVE HYPHA IN HOST,1
C1150805,1
C1153236,1
C1160234,1
GO:0072623,1
GO:0072626,1
FORMATION OF GENERATIVE AND VEGETATIVE CELLS,1
NITROGEN FIXATION,1
MENSTRUATION,1
LARVAL DEVELOPMENT,1
LIPID:PROTEIN MODIFICATION,1
DOPAMINE METABOLIC PROCESS,1
REGULATION OF SEED GROWTH,1
EPIDERMIS MORPHOGENESIS,1
DOPAMINERGIC SYNAPTIC TRANSMISSION,1
MATING BEHAVIOR,1
MULTICELLULAR ORGANISM AGING,1
AMINERGIC NEUROTRANSMITTER LOADING INTO SYNAPTIC VESICLE,1
GLYCOSIDE METABOLIC PROCESS,1
PHTHALATE METABOLIC PROCESS,1
IPECAC ALKALOID METABOLISM,1
RESPONSE TO ISOLATION STRESS,1
NEUROTRANSMITTER ANABOLISM,1
TERPENE METABOLIC PROCESS,1
ADRENALINE BIOSYNTHESIS,1
LEVARTERENOL BIOSYNTHESIS,1
CIRCADIAN SLEEP/WAKE CYCLE,1
PYRETHROID RESISTANCE,1
EMBRYONIC CAMERA-TYPE EYE MORPHOGENESIS,1
PHYTOALEXIN METABOLIC PROCESS,1
CELLULAR RESPONSE TO MANGANESE,1
HYALOID VASCULAR PLEXUS REGRESSION,1
C1326229,1
DOWN REGULATION OF EXOGEN,1
TAURINE METABOLIC PROCESS,1
DOWN REGULATION OF T CELL ACTIVATION,1
C1148573,1
C1148918,1
C1149149,1
C1149155,1
C1150090,1
C1150214,1
C1150246,1
C1150255,1
C1151400,1
C1152001,1
C1152969,1
C1153430,1
C1154421,1
C1154462,1
C1154692,1
C1156266,1
C1156523,1
C1156704,1
C1157172,1
C1157189,1
C1158436,1
C1159466,1
C1159716,1
C1159755,1
C1327211,1
C1371299,1
C1372805,1
C1373066,1
C1516294,1
C1522949,1
C1523039,1
C1523512,1
C1523815,1
C1150052,1
C1150829,1
C1518622,1
C1523040,1
C1149965,1
C1149989,1
C1150819,1
C1151533,1
C1152122,1
C1152142,1
C1152485,1
C1153489,1
C1156203,1
C1157690,1
C1325164,1
C1523457,1
C1523698,1
C1156107,1
C1151163,1
C1152874,1
C1157226,1
C1158302,1
C1512811,1
C1517596,1
C1523272,1
PROLACTIN SECRETION,1
ENDOPLASMIC RETICULUM LOCALISATION,1
EGG ACTIVATION,1
REGULATION OF ACTIN CYTOSKELETON REMODELING,1
RESPONSE TO HISTAMINE,1
REGULATION OF SECRETION,1
REGULATION OF ANAGEN,1
CGMP ANABOLISM,1
ONE CARBON METABOLIC PROCESS,1
RESPONSE TO PH,1
CARBON DIOXIDE TRANSPORT,1
"POSITIVE REGULATION OF SYNAPTIC TRANSMISSION, GABAERGIC",1
POSITIVE REGULATION OF CELL PH REDUCTION,1
ANGIOTENSIN II-MEDIATED SIGNALING PATHWAY,1
REGULATION OF ANION TRANSPORT,1
RESPONSE TO STEROID HORMONE,1
POSITIVE REGULATION OF DIPEPTIDE MEMBRANE TRANSPORT,1
REGULATION OF CHLORIDE TRANSPORT,1
C1150793,1
C1326563,1
C1153330,1
C1157396,1
C1160140,1
C1149280,1
APO-1 SIGNALING PATHWAY,1
CELLULAR RESPONSE TO HYPEROXIA,1
MOTONEURON APOPTOSIS,1
REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY VIA DEATH DOMAIN RECEPTORS,1
POSITIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY,1
REGULATION OF IMMUNE CELL MEDIATED CELL DEATH,1
ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS,1
T CELL ANTIGEN PROCESSING AND PRESENTATION,1
POSITIVE REGULATION OF CELLULAR EXTRAVASATION,1
RESPONSE TO SULFUR DIOXIDE,1
CELL ADHESION MEDIATED BY INTEGRIN,1
RESPONSE TO GONADOTROPIN,1
ADHESION OF SYMBIONT TO HOST,1
COPPER SENSITIVITY/RESISTANCE,1
ESTABLISHMENT OF ENDOTHELIAL BARRIER,1
T CELL EXTRAVASATION,1
ESTABLISHMENT OF BLOOD-TESTIS BARRIER,1
REGULATION OF MEMBRANE RUFFLE FORMATION,1
PAMP RECEPTOR SIGNALING PATHWAY,1
CYTOKINE PRODUCTION DURING IMMUNE RESPONSE,1
POSITIVE REGULATION OF DENDRITIC CELL ANTIGEN PROCESSING AND PRESENTATION,1
POSITIVE REGULATION OF DENDRITIC CELL CYTOKINE PRODUCTION,1
DETECTION OF BIOTIC STIMULUS,1
DETECTION OF BACTERIA,1
MAINTENANCE OF GASTROINTESTINAL EPITHELIUM,1
DETECTION OF MURAMYL DIPEPTIDE,1
POSITIVE REGULATION OF P38 MAPK SIGNALING,1
POSITIVE REGULATION OF GAMMA-DELTA T CELL ACTIVATION,1
OXIDOREDUCTASE ACTIVATOR,1
POSITIVE REGULATION OF (PG)H SYNTHASE ACTIVITY,1
NOD SIGNALING PATHWAY,1
POSITIVE REGULATION OF PROTEIN K63-LINKED POLYUBIQUITINATION,1
C1510698,1
POLYAMINE TRANSPORT,1
G2/M TRANSITION OF MITOTIC CELL CYCLE,1
MITOTIC CELL CYCLE G2/M TRANSITION DNA DAMAGE CHECKPOINT,1
CELLULAR RESPONSE TO MEDIUM WAVE ULTRAVIOLET LIGHT STIMULUS,1
REGULATION OF CELL CYCLE G1/S PHASE TRANSITION,1
DOWN REGULATION OF CYCLIN-DEPENDENT PROTEIN KINASE ACTIVITY,1
POSITIVE REGULATION OF CYCLIN-DEPENDENT PROTEIN KINASE ACTIVITY,1
DOWN REGULATION OF CARDIAC MUSCLE TISSUE REGENERATION,1
NEGATIVE REGULATION OF DNA ANABOLISM,1
C1149260,1
C1152355,1
C1155671,1
C1155738,1
C1156911,1
C1323243,1
C1328922,1
C1516352,1
NEUTROPHIL EXTRAVASATION,1
CUTIN ANABOLISM,1
CELL MIGRATION INVOLVED IN WOUND HEALING EPIBOLY,1
ACTIVATION OF MONONUCLEAR PHAGOCYTE AGGREGATION,1
REGULATION OF LAMELLIPODIUM MORPHOGENESIS,1
C1149297,1
C1157546,1
REGULATION OF CELLULAR METABOLIC PROCESS,1
AMINO ACID EFFLUX,1
KERATINOCYTE ACTIVATION,1
AMINO ACID ACTIVATION,1
ATG1 KINASE COMPLEX ASSEMBLY,1
'DE NOVO' PYRIMIDINE BASE ANABOLISM,1
LYSOSOME ORGANISATION,1
POSITIVE REGULATION OF LAMELLIPODIUM ASSEMBLY,1
NEGATIVE REGULATION OF MUSCLE ATROPHY,1
RUFFLE ORGANISATION,1
REGULATION OF FATTY ACID BETA-OXIDATION,1
REGULATION OF RESPONSE TO FOOD,1
ACTIVATION OF PROTEIN PHOSPHATASE 3 ACTIVITY,1
REGULATION OF CARBOHYDRATE UTILIZATION,1
REGULATION OF OSTEOCLAST DIFFERENTIATION,1
VOLUNTARY MUSCULOSKELETAL MOVEMENT,1
POSITIVE REGULATION OF STRESS FIBER ASSEMBLY,1
CARDIAC MUSCLE CELL DEVELOPMENT,1
MATERNAL PROCESS INVOLVED IN FEMALE PREGNANCY,1
DOWN REGULATION OF CALCINEURIN-NFAT SIGNALING CASCADE,1
CELLULAR RESPONSE TO LEUCINE,1
REGULATION OF MEMBRANE PERMEABILITY,1
"REGULATION OF TRANSLATION AT SYNAPSE, MODULATING SYNAPTIC TRANSMISSION",1
ACTIVATION OF TRANSCRIPTION OF NUCLEAR RRNA LARGE POL I TRANSCRIPT,1
"POSITIVE REGULATION OF WOUND HEALING, SPREADING OF EPIDERMAL CELLS",1
POSITIVE REGULATION OF EATING BEHAVIOR,1
POSITIVE REGULATION OF CHOLANGIOCYTE PROLIFERATION,1
POSITIVE REGULATION OF NOCICEPTION,1
REGULATION OF LOCOMOTOR RHYTHM,1
DOWN REGULATION OF CHOLANGIOCYTE APOPTOTIC PROCESS,1
POSITIVE REGULATION OF GRANULOSA CELL PROLIFERATION,1
POSITIVE REGULATION OF SKELETAL MUSCLE HYPERTROPHY,1
DOWN REGULATION OF IODIDE TRANSMEMBRANE TRANSPORT,1
POSITIVE REGULATION OF CYTOPLASMIC TRANSLATIONAL INITIATION,1
CELLULAR RESPONSE TO LEUCINE STARVATION,1
C1149451,1
MYELOID PROGENITOR CELL DIFFERENTIATION,1
IMMATURE B CELL DEVELOPMENT,1
DENDRITIC CELL CYTOKINE PRODUCTION,1
SPERMATID CELL DEVELOPMENT,1
GERM CELL MIGRATION,1
MAINTENANCE OF PLURIPOTENCY,1
LAMELLIPODIUM ASSEMBLY,1
HEMATOPOIETIC STEM CELL MIGRATION,1
FC RECEPTOR SIGNALING PATHWAY,1
EPO-R SIGNALING PATHWAY,1
SOMATIC STEM CELL DIVISION,1
POSITIVE REGULATION OF LONG-TERM NEURONAL SYNAPTIC PLASTICITY,1
DIGESTIVE TRACT DEVELOPMENT,1
DETECTION OF MECHANICAL STIMULUS INVOLVED IN SENSORY PERCEPTION OF SOUND,1
CELLULAR RESPONSE TO THYROID HORMONE STIMULUS,1
MELANOCYTE ADHESION,1
POSITIVE REGULATION OF PYLORIC ANTRUM SMOOTH MUSCLE CONTRACTION,1
REGULATION OF BILE ACID METABOLIC PROCESS,1
POSITIVE REGULATION OF COLON SMOOTH MUSCLE CONTRACTION,1
POSITIVE REGULATION OF SMALL INTESTINE SMOOTH MUSCLE CONTRACTION,1
POSITIVE REGULATION OF VASCULAR ASSOCIATED SMOOTH MUSCLE CELL DIFFERENTIATION,1
TL SIGNALING PATHWAY,1
C1150784,1
C1323420,1
C1150978,1
GO:0072638,1
REGULATION OF RETROVIRAL GENOME REPLICATION,1
NEGATIVE REGULATION OF CELL ADHESION MOLECULE PRODUCTION,1
REGULATION OF BACTERIAL ENTRY INTO HOST CELL,1
REGULATION OF T CELL CHEMOTAXIS,1
RESPONSE TO AUDITORY STIMULUS,1
REGULATION OF ENDOTHELIAL TUBE MORPHOGENESIS,1
DOWN REGULATION OF MYOBLAST FUSION,1
"REGULATION OF 3',5' CAMP-DEPENDENT PROTEIN KINASE ACTIVITY",1
C1159622,1
C1323921,1
C1449936,1
C1157873,1
C1148611,1
SINGLE-ORGANISM TRANSPORT,1
HDL REMODELING,1
MAINTENANCE OF MITOCHONDRIA LOCALIZATION,1
C1150256,1
C1522925,1
SCHWANN CELL PROLIFERATION,1
PROGESTERONE ANABOLISM,1
TRANSCRIPTION INITIATION FROM POL I PROMOTER,1
POSITIVE REGULATION OF XENOPHAGY,1
NEGATIVE REGULATION OF APOLIPOPROTEIN BINDING,1
C1326316,1
ENGULFMENT OF APOPTOTIC CELL,1
ACTIVATION OF TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE KINASE ACTIVITY,1
POSITIVE REGULATION OF CEREBELLAR GRANULE CELL PRECURSOR PROLIFERATION,1
DOWN REGULATION OF SECRETION,1
NEGATIVE REGULATION OF CHOLESTEROL EFFLUX,1
ACTIVATION OF HYALURONAN ANABOLISM,1
POSITIVE REGULATION OF PROTEIN LOCALISATION IN EARLY ENDOSOME,1
REGULATION OF PROTEIN LOCALISATION AT CELL SURFACE,1
HOG RESPONSE,1
ACTIVATION OF NF-KAPPAB-INDUCING KINASE ACTIVITY,1
TLR3 SIGNALING PATHWAY,1
POSITIVE REGULATION OF TYPE III IFN PRODUCTION,1
C1159707,1
LIPOPOLYSACCHARIDE TRANSPORT,1
POSITIVE REGULATION OF ENDOCYTOSIS,1
CELLULAR RESPONSE TO BACTERIA ASSOCIATED MOLECULE,1
C1149145,1
C1160550,1
C1522910,1
C1523718,1
C1373061,1
C1373097,1
C1515671,1
PROTEIN IMPORT,1
TESTOSTERONE SECRETION,1
REGULATION OF AGE-RELATED RESISTANCE,1
ANDROGEN ANABOLISM,1
REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE,1
EPITHELIAL CELL MORPHOGENESIS,1
SINGLE FERTILIZATION,1
MALE SOMATIC SEX DETERMINATION,1
ANDROGEN RECEPTOR SIGNALING PATHWAY,1
POSITIVE REGULATION OF ESTROGEN RECEPTOR SIGNALING PATHWAY,1
DOWN REGULATION OF INTEGRIN BIOSYNTHETIC PROCESS,1
POSITIVE REGULATION OF INTEGRIN ANABOLISM,1
REGULATION OF DEVELOPMENTAL GROWTH,1
ANIMAL ORGAN FORMATION,1
MALE GENITAL MORPHOGENESIS,1
ACTIVATION OF PROSTATE INDUCTION BY ANDROGEN RECEPTOR SIGNALING PATHWAY,1
LATERAL SPROUTING INVOLVED IN MAMMARY GLAND DUCT MORPHOGENESIS,1
PROSTATE GLAND EPITHELIUM MORPHOGENESIS,1
EPITHELIAL CELL DIFFERENTIATION INVOLVED IN PROSTATE GLAND DEVELOPMENT,1
TERTIARY BRANCHING INVOLVED IN MAMMARY GLAND DUCT MORPHOGENESIS,1
POSITIVE REGULATION OF EPITHELIAL CELL PROLIFERATION INVOLVED IN PROSTATE GLAND DEVELOPMENT,1
CELLULAR RESPONSE TO STEROID HORMONE STIMULUS,1
CELLULAR RESPONSE TO TESTOSTERONE STIMULUS,1
SEMINIFEROUS TUBULE DEVELOPMENT,1
GO:0030969,1
CILIARY MOTILITY,1
ACETATE ANABOLISM,1
INTERACTION WITH HOST,1
RNA MODIFICATION,1
REGULATION OF HEDGEHOG SIGNALING PATHWAY,1
N-TERMINAL PEPTIDYL-LYSINE ACETYLATION,1
POSITIVE REGULATION OF TGF-BETA RECEPTOR SIGNALING PATHWAY,1
HISTONE GLUTAMINE METHYLATION,1
ENDOTHELIUM DEVELOPMENT,1
MESANGIAL CELL-MATRIX ADHESION,1
POSITIVE REGULATION OF ODONTOGENESIS,1
HEMATOPOIETIC STEM CELL PROLIFERATION,1
EXTRACELLULAR EXOSOME ASSEMBLY,1
GLOMERULAR ENDOTHELIUM DEVELOPMENT,1
METANEPHRIC GLOMERULAR MESANGIAL CELL DIFFERENTIATION,1
DOWN REGULATION OF CELLULAR RESPONSE TO HEAT,1
DOWN REGULATION OF CELLULAR RESPONSE TO HYPOXIA,1
POSITIVE REGULATION OF GDNF SECRETION,1
POSITIVE REGULATION OF VASCULAR MORPHOGENESIS,1
N-GLYCAN BIOSYNTHESIS,1
COPII COATING OF ER-DERIVED VESICLE,1
DOWN REGULATION OF DENDRITE MORPHOGENESIS,1
ESTABLISHMENT OF PROTEIN LOCALIZATION TO PLASMA MEMBRANE,1
C1151132,1
C1155443,1
C1156367,1
C1157591,1
C1158303,1
C1282173,1
C1149762,1
C1151228,1
C1154444,1
C1156867,1
C1159484,1
C1160367,1
LYSINE TRANSPORT,1
REGULATION OF ENDOTHELIAL CELL PROLIFERATION,1
RESPONSE TO DIETARY EXCESS,1
CARDIAC MUSCLE HYPERTROPHY,1
GLYCEROL ANABOLISM,1
FATTY ACID BETA-OXIDATION,1
TYROSINE PHOSPHORYLATION OF STAT PROTEIN,1
ADULT FEEDING BEHAVIOR,1
CENTRAL NERVOUS SYSTEM NEURON DEVELOPMENT,1
REGULATION OF INTESTINAL CHOLESTEROL ABSORPTION,1
REGULATION OF NATURAL KILLER CELL PROLIFERATION,1
POSITIVE REGULATION OF LUTEINIZING HORMONE SECRETION,1
POSITIVE REGULATION OF PEROXISOME PROLIFERATOR ACTIVATED RECEPTOR SIGNALING PATHWAY,1
AORTA DEVELOPMENT,1
REGULATION OF NATURAL KILLER CELL MEDIATED CELL DEATH,1
POSITIVE REGULATION OF ION TRANSPORT,1
DOWN REGULATION OF VASOCONSTRICTION,1
POSITIVE REGULATION OF FOLLICLE STIMULATING HORMONE SECRETION,1
POSITIVE REGULATION OF DEVELOPMENTAL GROWTH,1
REGULATION OF STEROID ANABOLISM,1
REGULATION OF LIPOPROTEIN LIPID OXIDATION,1
NEGATIVE REGULATION OF CARTILAGE DEVELOPMENT,1
DOWN REGULATION OF GLUCAGON SECRETION,1
CELLULAR RESPONSE TO ASCORBIC ACID,1
POSITIVE REGULATION OF ADIPOCYTE APOPTOTIC PROCESS,1
NEGATIVE REGULATION OF GLUTAMINE TRANSPORT,1
POSITIVE REGULATION OF HEPATIC STELLATE CELL ACTIVATION,1
REGULATION OF T CELL TOLERANCE INDUCTION,1
REGULATION OF BEHAVIOR,1
GRANULOCYTE CHEMOTAXIS,1
POSITIVE REGULATION OF MICROGLIAL CELL ACTIVATION,1
HEAT DISSIPATION,1
RELEASE FROM VIRAL LATENCY,1
FRUIT DEVELOPMENT,1
EGG LAYING,1
GLYCEROLIPID METABOLIC PROCESS,1
COUMARIN METABOLIC PROCESS,1
ACRYLATE PATHWAY,1
INTESTINAL LIPID ABSORPTION,1
C1149341,1
C1158822,1
C1149347,1
C1514568,1
HISTONE CHAPERONE,1
REGULATION OF B CELL APOPTOTIC PROCESS,1
NERVE-NERVE SYNAPTIC TRANSMISSION,1
NEGATIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION,1
GROWTH CONE COLLAPSE,1
DENTATE GYRUS DEVELOPMENT,1
CENTRAL NERVOUS SYSTEM NEURON AXONOGENESIS,1
ADULT BEHAVIOR,1
DOWN REGULATION OF MYELINATION,1
"REGULATION OF SYNAPTIC TRANSMISSION, GABAERGIC",1
CENTRAL NERVOUS SYSTEM MYELIN MAINTENANCE,1
REGULATION OF CELLULAR COMPONENT SIZE,1
REGULATION OF MYELOID CELL APOPTOTIC PROCESS,1
MULTICELLULAR ORGANISMAL RESPONSE TO STRESS,1
INOSITOL PHOSPHATE METABOLIC PROCESS,1
NEGATIVE REGULATION OF ORGAN GROWTH,1
INOSITOL PHOSPHATE DEPHOSPHORYLATION,1
DOWN REGULATION OF AXON REGENERATION,1
CARDIAC MUSCLE TISSUE DEVELOPMENT,1
FOREBRAIN MORPHOGENESIS,1
DOWN REGULATION OF AXONOGENESIS,1
DOWN REGULATION OF KERATINOCYTE MIGRATION,1
DOWN REGULATION OF FOCAL ADHESION FORMATION,1
REGULATION OF AKT SIGNALING CASCADE,1
RHYTHMIC SYNAPTIC TRANSMISSION,1
NEGATIVE REGULATION OF CARDIAC MUSCLE CELL PROLIFERATION,1
CANONICAL WNT RECEPTOR SIGNALING PATHWAY,1
SYNAPSE MATURATION,1
LONG TERM DEPRESSION,1
DENDRITIC SPINE MORPHOGENESIS,1
NEGATIVE REGULATION OF DENDRITIC SPINE MORPHOGENESIS,1
CELLULAR RESPONSE TO ELECTRICAL STIMULUS,1
CELLULAR RESPONSE TO ETHANOL,1
NEGATIVE REGULATION OF RIBOSOME BIOGENESIS,1
NEGATIVE REGULATION OF CELL AGING,1
NEGATIVE REGULATION OF EPSP,1
PRE-SYNAPTIC MEMBRANE ASSEMBLY,1
POST SYNAPTIC DENSITY ASSEMBLY,1
DOWN REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY,1
DOWN REGULATION OF CELL CYCLE G1/S PHASE TRANSITION,1
"DOWN REGULATION OF WOUND HEALING, SPREADING OF EPIDERMAL CELLS",1
POSITIVE REGULATION OF TRAIL-ACTIVATED APOPTOTIC SIGNALING PATHWAY,1
NEGATIVE REGULATION OF RECEPTOR ACTIVITY,1
POSITIVE REGULATION OF EPSP,1
NEGATIVE REGULATION OF SYNAPTIC VESICLE CLUSTERING,1
CELL FATE DETERMINATION,1
NEGATIVE REGULATION OF MESENCHYMAL TO EPITHELIAL TRANSITION INVOLVED IN METANEPHROS MORPHOGENESIS,1
RESPONSE TO BETA-1 INTERFERON,1
DOWN REGULATION OF VIRAL PROTEIN LEVELS IN HOST CELL,1
RENAL TUBULE DEVELOPMENT,1
METANEPHRIC MESENCHYMAL CELL PROLIFERATION INVOLVED IN METANEPHROS DEVELOPMENT,1
METANEPHRIC MESENCHYMAL CELL DIFFERENTIATION,1
NEGATIVE REGULATION OF METANEPHRIC NEPHRON TUBULE EPITHELIAL CELL DIFFERENTIATION,1
C1326281,1
CA2+ ION DETECTION,1
REGULATION OF DOPAMINE SECRETION,1
CALCIUM ION-DEPENDENT EXOCYTOSIS,1
REGULATION OF EXOCYTOSIS,1
REGULATION OF CALCIUM ION-DEPENDENT EXOCYTOSIS,1
VESICLE DOCKING,1
SYNAPTIC VESICLE ENDOCYTOSIS,1
CALCIUM ION-REGULATED EXOCYTOSIS OF NEUROTRANSMITTER,1
PROTEIN HETEROOLIGOMER ASSEMBLY,1
SPONTANEOUS NEUROTRANSMITTER SECRETION,1
SYNCHRONOUS NEUROTRANSMITTER SECRETION,1
"FAST, CALCIUM ION-DEPENDENT EXOCYTOSIS OF NEUROTRANSMITTER",1
CALCIUM-DEPENDENT ACTIVATION OF SYNAPTIC VESICLE FUSION,1
POSITIVE REGULATION OF CALCIUM ION-DEPENDENT EXOCYTOSIS OF NEUROTRANSMITTER,1
REGULATION OF REGULATED SECRETORY PATHWAY,1
PROTEIN COMPLEX OLIGOMERIZATION,1
FERULATE ANABOLISM,1
CHOLESTEROL BREAKDOWN,1
CAMBIAL SECONDARY GROWTH,1
CELLULAR SECRETION,1
VIRAL MATURATION,1
MONOCARBOXYLIC ACID TRANSPORT,1
"RNA PHOSPHODIESTER BOND HYDROLYSIS, EXONUCLEOLYTIC",1
C1519906,1
C1326578,1
LYTIC VIRAL LIFE CYCLE,1
RESPONSE TO HMG-COA REDUCTASE INHIBITOR,1
CARDIAC CONDUCTION,1
PROTEIN TARGETING TO LYSOSOME,1
MEMBRANE INVAGINATION,1
NEGATIVE REGULATION OF PLATELET-DERIVED GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,1
DOWN REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,1
REGULATION OF MAP KINASE ACTIVITY,1
DOWN REGULATION OF JAK-STAT CASCADE,1
PROTEIN LOCALISATION IN MEMBRANE,1
C1158558,1
C1515262,1
C1152456,1
C1523733,1
CHROMOSOME LOCALISATION,1
PROTEIN AMINO ACID PALMITOYLATION,1
DORSAL ROOT GANGLION DEVELOPMENT,1
XENOPHAGY,1
HYPOCHORD DEVELOPMENT,1
NONPHOTOCHEMICAL QUENCHING,1
ORGANIC ANION TRANSPORT,1
RNA METABOLIC PROCESS,1
PROTEIN TRANS-AUTOPHOSPHORYLATION,1
G2 DNA DAMAGE CHECKPOINT,1
DIAKINESIS,1
PHOSPHORUS METABOLIC PROCESS,1
CENTRAL NERVOUS SYSTEM MORPHOGENESIS,1
MITOTIC METAPHASE,1
PROTEASOMAL PROTEIN CATABOLIC PROCESS,1
PROTEASOMAL UBIQUITIN-INDEPENDENT PROTEIN CATABOLIC PROCESS,1
B CELL POLARIZATION,1
VIRAL BUDDING,1
RNA METHYLATION,1
SYMBIOSIS,1
ASCORBATE GLUTATHIONE CYCLE,1
GLYCEROL METABOLIC PROCESS,1
TRYPTOPHAN METABOLIC PROCESS,1
MUTUALISM,1
HISTAMINE METABOLIC PROCESS,1
POSITIVE REGULATION OF BINDING,1
HISTONE H3 ACETYLATION,1
CHEMOLITHOTROPHIE,1
INDUCTION OF AN ORGAN,1
POSITIVE REGULATION OF PHOSPHOLIPASE ACTIVITY,1
REGULATION OF PHOSPHATE TRANSPORT,1
NEUROBLAST DIVISION IN VENTRICULAR ZONE,1
EMBRYONIC LIMB MORPHOGENESIS,1
MESENCEPHALON DEVELOPMENT,1
FGF RECEPTOR SIGNALING PATHWAY INVOLVED IN ORBITOFRONTAL CORTEX DEVELOPMENT,1
MIDDLE EAR MORPHOGENESIS,1
CHORDATE EMBRYONIC DEVELOPMENT,1
PARAXIAL MESODERM DEVELOPMENT,1
REGULATION OF LATERAL MESODERMAL CELL FATE SPECIFICATION,1
SKELETAL MORPHOGENESIS,1
AUDITORY HAIR CELL DEVELOPMENT,1
BRANCHING INVOLVED IN SALIVARY GLAND MORPHOGENESIS,1
LUNG MESENCHYME DEVELOPMENT,1
CALCIOL METABOLIC PROCESS,1
POSITIVE REGULATION OF MAPKKK CASCADE BY FIBROBLAST GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,1
NEGATIVE REGULATION OF FIBROBLAST GROWTH FACTOR PRODUCTION,1
ACTIVATION OF DNA REPLICATION DURING S PHASE INVOLVED IN MITOTIC CELL CYCLE,1
POSITIVE REGULATION OF ENDOTHELIAL CELL CHEMOTAXIS TO FIBROBLAST GROWTH FACTOR,1
POSITIVE REGULATION OF PARATHORMONE SECRETION,1
REGULATION OF DEPENDENCE RECEPTOR SIGNALING PATHWAY,1
DOWN REGULATION OF TYPE I INTERFERON PRODUCTION,1
ACTIVATION-INDUCED CELL DEATH,1
PROGRAMMED CELL DEATH BY NECROSIS,1
C1151127,1
