,bioprocess_count
REGULATION OF ESTROGEN RECEPTOR SIGNALING PATHWAY,1
PROSTATE EPITHELIAL CORD ELONGATION,1
PROSTATE EPITHELIAL CORD ARBORIZATION INVOLVED IN PROSTATE GLANDULAR ACINUS MORPHOGENESIS,1
REGULATION OF BRANCHING INVOLVED IN PROSTATE GLAND MORPHOGENESIS,1
MAMMARY GLAND BRANCHING INVOLVED IN PREGNANCY,1
EPITHELIAL CELL PROLIFERATION INVOLVED IN MAMMARY GLAND DUCT ELONGATION,1
PROTEIN LOCALISATION TO CHROMATIN,1
C1152881,1
C1154951,1
C1523237,1
DENDRITE DEVELOPMENT,1
REGULATION OF RAC PROTEIN SIGNAL TRANSDUCTION,1
HELPER T CELL DIAPEDESIS,1
RESPONSE TO HEPATOCYTE GROWTH FACTOR,1
REGULATION OF PROTEIN BINDING,1
RESPONSE TO CHOLECYSTOKININ,1
CEREBELLAR NEURON DEVELOPMENT,1
POSITIVE REGULATION OF CELL SPREADING DURING CELL SUBSTRATE ADHESION,1
REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION,1
CELLULAR RESPONSE TO ENDOTHELIN,1
NEGATIVE REGULATION OF CELL LOCOMOTION,1
REGULATION OF T CELL MIGRATION,1
C1148601,1
C1154676,1
C1154964,1
C1155672,1
C1156966,1
C1157254,1
C1157303,1
C1157350,1
C1157360,1
C1158391,1
C1158486,1
C1158693,1
C1160050,1
C1257784,1
C1326611,1
C1327024,1
C1327242,1
C1514925,1
C1518591,1
C1523225,1
C1523647,1
C1563690,1
C1159620,1
C1159649,1
C1159737,1
C1159747,1
C1523936,1
C1371607,1
C1157549,1
C1323372,1
C1514664,1
9-CIS-RETINOIC ACID ANABOLISM,1
ESTABLISHMENT AND MAINTENANCE OF GOLGI LOCALIZATION,1
SPERM CHROMATIN CONDENSATION,1
DOUBLE FERTILIZATION,1
DOWN REGULATION OF SIGNAL TRANSDUCTION,1
C1149517,1
C1156866,1
C1327473,1
C1522952,1
C1151963,1
LIGHT ADAPTION,1
RESPONSE TO ACETATE,1
CONDITIONED TASTE AVERSION,1
RESPONSE TO GRAVITATIONAL STIMULUS,1
C1149444,1
RESPONSE TO NERVE GROWTH FACTOR,1
IBA METABOLIC PROCESS,1
DEVELOPMENTAL PROGRAMMED CELL DEATH,1
CN 1 DEVELOPMENT,1
MECHANORECEPTOR DIFFERENTIATION,1
SYMPATHETIC NERVOUS SYSTEM DEVELOPMENT,1
RESPONSE TO BIOMECHANICAL STRESS,1
SERTOLI CELL DEVELOPMENT,1
AXONOGENESIS INVOLVED IN INNERVATION,1
BEHAVIORAL RESPONSE TO FORMALIN INDUCED PAIN,1
REGULATION OF CHRONIC INFLAMMATORY RESPONSE,1
POSITIVE REGULATION OF ACTIVATION OF JAK PROTEIN,1
ACTIVATION OF PHOSPHOLIPASE D ACTIVITY,1
POSITIVE REGULATION OF CELL-CELL ADHESION MEDIATED BY INTEGRIN,1
POSITIVE REGULATION OF HOMOTYPIC CELL-CELL ADHESION,1
POSITIVE REGULATION OF TRANSLATIONAL INITIATION,1
NEGATIVE REGULATION OF CHEMOKINE-MEDIATED SIGNALING PATHWAY,1
DOWN REGULATION OF T CELL APOPTOSIS,1
POSITIVE REGULATION OF PROGRAMMED CELL DEATH OF T CELLS BY APOPTOSIS,1
REGULATION OF NEURON CELL DEATH,1
C1149541,1
REGULATION OF NEUTROPHIL MIGRATION,1
ECTODERMAL CELL DIFFERENTIATION,1
POSITIVE REGULATION OF HIPPOCAMPAL NEURON APOPTOTIC PROCESS,1
POSITIVE REGULATION OF MICROGLIAL CELL MEDIATED CYTOTOXICITY,1
C1371315,1
C1373140,1
BLOOD VESSEL MATURATION,1
INTRAMEMBRANOUS BONE OSSIFICATION,1
BONE TRABECULA BIOGENESIS,1
C1149145,1
C1160550,1
C1523718,1
C1373061,1
C1373097,1
C1515671,1
PROTEIN IMPORT,1
TESTOSTERONE SECRETION,1
REGULATION OF AGE-RELATED RESISTANCE,1
CELL ORGANISATION,1
ANDROGEN ANABOLISM,1
EPITHELIAL CELL MORPHOGENESIS,1
SINGLE FERTILIZATION,1
MALE SOMATIC SEX DETERMINATION,1
POSITIVE REGULATION OF ESTROGEN RECEPTOR SIGNALING PATHWAY,1
DOWN REGULATION OF INTEGRIN BIOSYNTHETIC PROCESS,1
POSITIVE REGULATION OF INTEGRIN ANABOLISM,1
REGULATION OF DEVELOPMENTAL GROWTH,1
ANIMAL ORGAN FORMATION,1
MALE GENITAL MORPHOGENESIS,1
ACTIVATION OF PROSTATE INDUCTION BY ANDROGEN RECEPTOR SIGNALING PATHWAY,1
LATERAL SPROUTING INVOLVED IN MAMMARY GLAND DUCT MORPHOGENESIS,1
TERTIARY BRANCHING INVOLVED IN MAMMARY GLAND DUCT MORPHOGENESIS,1
CELLULAR RESPONSE TO TESTOSTERONE STIMULUS,1
SEMINIFEROUS TUBULE DEVELOPMENT,1
C1149260,1
C1152355,1
C1155671,1
C1155738,1
C1156911,1
C1323243,1
C1328922,1
FUCOSYLATION,1
ACTIVATION OF MONONUCLEAR PHAGOCYTE AGGREGATION,1
REGULATION OF LAMELLIPODIUM MORPHOGENESIS,1
C1149297,1
C1157546,1
REGULATION OF CELLULAR METABOLIC PROCESS,1
AMINO ACID EFFLUX,1
KERATINOCYTE ACTIVATION,1
ATG1 KINASE COMPLEX ASSEMBLY,1
'DE NOVO' PYRIMIDINE BASE ANABOLISM,1
LYSOSOME ORGANISATION,1
POSITIVE REGULATION OF LAMELLIPODIUM ASSEMBLY,1
NEGATIVE REGULATION OF MUSCLE ATROPHY,1
RUFFLE ORGANISATION,1
REGULATION OF FATTY ACID BETA-OXIDATION,1
REGULATION OF RESPONSE TO FOOD,1
ACTIVATION OF PROTEIN PHOSPHATASE 3 ACTIVITY,1
REGULATION OF CARBOHYDRATE UTILIZATION,1
REGULATION OF OSTEOCLAST DIFFERENTIATION,1
VOLUNTARY MUSCULOSKELETAL MOVEMENT,1
CARDIAC MUSCLE CELL DEVELOPMENT,1
DOWN REGULATION OF CALCINEURIN-NFAT SIGNALING CASCADE,1
CELLULAR RESPONSE TO LEUCINE,1
REGULATION OF MEMBRANE PERMEABILITY,1
"REGULATION OF TRANSLATION AT SYNAPSE, MODULATING SYNAPTIC TRANSMISSION",1
ACTIVATION OF TRANSCRIPTION OF NUCLEAR RRNA LARGE POL I TRANSCRIPT,1
"POSITIVE REGULATION OF WOUND HEALING, SPREADING OF EPIDERMAL CELLS",1
POSITIVE REGULATION OF EATING BEHAVIOR,1
POSITIVE REGULATION OF CHOLANGIOCYTE PROLIFERATION,1
REGULATION OF LOCOMOTOR RHYTHM,1
DOWN REGULATION OF CHOLANGIOCYTE APOPTOTIC PROCESS,1
POSITIVE REGULATION OF GRANULOSA CELL PROLIFERATION,1
POSITIVE REGULATION OF SKELETAL MUSCLE HYPERTROPHY,1
DOWN REGULATION OF IODIDE TRANSMEMBRANE TRANSPORT,1
POSITIVE REGULATION OF CYTOPLASMIC TRANSLATIONAL INITIATION,1
CELLULAR RESPONSE TO LEUCINE STARVATION,1
C1510698,1
POLYAMINE TRANSPORT,1
MITOTIC CELL CYCLE G2/M TRANSITION DNA DAMAGE CHECKPOINT,1
CELLULAR RESPONSE TO MEDIUM WAVE ULTRAVIOLET LIGHT STIMULUS,1
REGULATION OF CELL CYCLE G1/S PHASE TRANSITION,1
DOWN REGULATION OF CYCLIN-DEPENDENT PROTEIN KINASE ACTIVITY,1
POSITIVE REGULATION OF CYCLIN-DEPENDENT PROTEIN KINASE ACTIVITY,1
DOWN REGULATION OF CARDIAC MUSCLE TISSUE REGENERATION,1
NEGATIVE REGULATION OF DNA ANABOLISM,1
C1157206,1
C1157352,1
C1158652,1
C1158880,1
C1160618,1
C1523886,1
C1157991,1
RESPONSE TO SUPEROXIDE,1
GLUTATHIONE METABOLIC PROCESS,1
RETROGRADE AXON CARGO TRANSPORT,1
CONDUCTION OF NERVE IMPULSE,1
REGULATION OF T CELL DEVELOPMENT IN THYMUS,1
CELLULAR RESPONSE TO K+ ION,1
DOWN REGULATION OF CHOLESTEROL BIOSYNTHETIC PROCESS,1
REGULATION OF PROTEIN KINASE ACTIVITY,1
REGULATION OF ORGAN GROWTH,1
NEUROFILAMENT CYTOSKELETON ORGANISATION,1
NEGATIVE REGULATION OF RELAXATION OF VASCULAR SMOOTH MUSCLE,1
AUDITORY RECEPTOR CELL STEREOCILIUM ORGANISATION,1
RESPONSE TO ANTIPSYCHOTIC DRUG,1
POSITIVE REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO OXIDATIVE STRESS,1
TL SIGNALING PATHWAY,1
C1156817,1
REGULATION OF POSTTRANSCRIPTIONAL GENE SILENCING BY SIRNA,1
PHOTOMORPHOGENESIS,1
ETIOLATION,1
GLUTAMINE TRANSPORT,1
LACTATE SECRETION,1
CHLOROPHYLL BREAKDOWN,1
SEEDLING DEVELOPMENT,1
TRAF SIGNALING,1
REGULATION OF TELOMERE MAINTENANCE,1
DOWN REGULATION OF STRESS-ACTIVATED MAPK CASCADE,1
DNA-PROTEIN COMPLEX DISASSEMBLY,1
FIBROBLAST APOPTOTIC PROCESS,1
DOWN REGULATION OF CELL DIVISION,1
POSITIVE REGULATION OF METANEPHRIC CAP MESENCHYMAL CELL PROLIFERATION,1
REGULATION OF SOMATIC STEM CELL POPULATION MAINTENANCE,1
POSITIVE REGULATION OF DNA METHYLATION,1
POSITIVE REGULATION OF DNA ANABOLISM,1
POSITIVE REGULATION OF CELLULAR DNA DAMAGE RESPONSE,1
C1160701,1
C1522992,1
C1150347,1
C1148552,1
CEREBELLAR CORTEX FORMATION,1
MICROVILLUS ORGANISATION,1
ATRIOVENTRICULAR CANAL DEVELOPMENT,1
MULTICELLULAR ORGANISMAL REPRODUCTIVE PROCESS,1
GENITAL DEVELOPMENT,1
INNER EAR DEVELOPMENT,1
DOWN REGULATION OF CORTISOL SECRETION,1
NEGATIVE REGULATION OF GROWTH HORMONE SECRETION,1
INTESTINAL EPITHELIAL CELL MIGRATION,1
C1149451,1
DEFINITIVE ERYTHROCYTE DIFFERENTIATION,1
MYELOID PROGENITOR CELL DIFFERENTIATION,1
IMMATURE B CELL DEVELOPMENT,1
DENDRITIC CELL CYTOKINE PRODUCTION,1
SPERMATID CELL DEVELOPMENT,1
GERM CELL MIGRATION,1
POSITIVE REGULATION OF PSEUDOPODIUM ASSEMBLY,1
HEMATOPOIETIC STEM CELL MIGRATION,1
FC RECEPTOR SIGNALING PATHWAY,1
POSITIVE REGULATION OF LONG-TERM NEURONAL SYNAPTIC PLASTICITY,1
DIGESTIVE TRACT DEVELOPMENT,1
DETECTION OF MECHANICAL STIMULUS INVOLVED IN SENSORY PERCEPTION OF SOUND,1
CELLULAR RESPONSE TO THYROID HORMONE STIMULUS,1
MELANOCYTE MIGRATION,1
MELANOCYTE ADHESION,1
POSITIVE REGULATION OF PYLORIC ANTRUM SMOOTH MUSCLE CONTRACTION,1
REGULATION OF BILE ACID METABOLIC PROCESS,1
POSITIVE REGULATION OF COLON SMOOTH MUSCLE CONTRACTION,1
POSITIVE REGULATION OF SMALL INTESTINE SMOOTH MUSCLE CONTRACTION,1
POSITIVE REGULATION OF VASCULAR ASSOCIATED SMOOTH MUSCLE CELL DIFFERENTIATION,1
C1152638,1
C1149173,1
CHEMOSENSORY PERCEPTION,1
CELL PROLIFERATION IN HINDBRAIN,1
COMPLEMENT COMPONENT C5A SIGNALING PATHWAY,1
PRESYNAPSE DEVELOPMENT,1
REGULATION OF ATP:TAU-PROTEIN O-PHOSPHOTRANSFERASE ACTIVITY,1
DOWN REGULATION OF EXOGEN,1
TAURINE METABOLIC PROCESS,1
C1150805,1
C1153236,1
C1160234,1
C1323251,1
GO:0072623,1
GO:0072626,1
FORMATION OF GENERATIVE AND VEGETATIVE CELLS,1
MENSTRUATION,1
KERATINOCYTE PROLIFERATION,1
GLYCINE TRANSPORT,1
MENSTRUAL CYCLE,1
LIPID:PROTEIN MODIFICATION,1
IL-33-MEDIATED SIGNALING PATHWAY,1
EPIDERMIS MORPHOGENESIS,1
DOPAMINERGIC SYNAPTIC TRANSMISSION,1
MATING BEHAVIOR,1
HERBICIDE SUSCEPTIBILITY/RESISTANCE,1
MULTICELLULAR ORGANISM AGING,1
AMINERGIC NEUROTRANSMITTER LOADING INTO SYNAPTIC VESICLE,1
GLYCOSIDE METABOLIC PROCESS,1
PHTHALATE METABOLIC PROCESS,1
IPECAC ALKALOID METABOLISM,1
RESPONSE TO ISOLATION STRESS,1
NEUROTRANSMITTER ANABOLISM,1
TERPENE METABOLIC PROCESS,1
ADRENALINE BIOSYNTHESIS,1
LEVARTERENOL BIOSYNTHESIS,1
CIRCADIAN SLEEP/WAKE CYCLE,1
PYRETHROID RESISTANCE,1
EMBRYONIC CAMERA-TYPE EYE MORPHOGENESIS,1
PHYTOALEXIN METABOLIC PROCESS,1
HYALOID VASCULAR PLEXUS REGRESSION,1
C1150504,1
C1152935,1
C1323420,1
C1150978,1
GO:0072638,1
REGULATION OF RETROVIRAL GENOME REPLICATION,1
REGULATION OF BACTERIAL ENTRY INTO HOST CELL,1
C1158723,1
C1158942,1
C1160232,1
C1523111,1
C1523954,1
C1152517,1
MITOCHONDRIAL OUTER MEMBRANE PROTEIN IMPORT,1
C1150055,1
C1326386,1
TRANSEPITHELIAL TRANSPORT,1
ANGIOTENSIN MEDIATED CONTROL OF RENAL OUTPUT,1
POSITIVE REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE,1
POSTTRANSCRIPTIONAL REGULATION OF GENE EXPRESSION,1
REGULATION OF SMOOTH MUSCLE CELL MIGRATION,1
MONONUCLEAR CELL PROLIFERATION,1
PEPTIDE BREAKDOWN,1
ARACHIDONIC ACID SECRETION,1
REGULATION OF ANGIOTENSIN METABOLIC PROCESS,1
BONE MARROW CELL PROLIFERATION,1
POSITIVE REGULATION OF PEPTIDYL-CYSTEINE S-NITROSYLATION,1
REGULATION OF T CELL TOLERANCE INDUCTION,1
C1151456,1
C1155076,1
C1373026,1
DOWN REGULATION OF TROPHOBLAST CELL MIGRATION,1
DOWN REGULATION OF METALLOPEPTIDASE ACTIVITY,1
REGULATION OF INTEGRIN-MEDIATED SIGNALING PATHWAY,1
C1159707,1
LIPOPOLYSACCHARIDE TRANSPORT,1
POSITIVE REGULATION OF ENDOCYTOSIS,1
TLR3 SIGNALING PATHWAY,1
POSITIVE REGULATION OF TYPE III IFN PRODUCTION,1
C1327144,1
C1522822,1
RESPONSE TO ACIDIC PH,1
C1152855,1
IGIF PRODUCTION,1
PRE-B CELL ALLELIC EXCLUSION,1
DNA DAMAGE INDUCED PROTEIN PHOSPHORYLATION,1
MITOTIC CELL CYCLE SPINDLE ASSEMBLY CHECKPOINT,1
GENE CONVERSION WITH RECIPROCAL CROSSOVER,1
MALE MEIOSIS,1
FEMALE MEIOSIS,1
REGULATION OF TELOMERE MAINTENANCE VIA TELOMERASE,1
PEPTIDYL-SERINE AUTOPHOSPHORYLATION,1
LIPOPROTEIN BREAKDOWN,1
"POSITIVE REGULATION OF DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR",1
MEIOTIC TELOMERE CLUSTERING,1
REGULATION OF TELOMERASE ACTIVITY,1
HISTONE MRNA CATABOLIC PROCESS,1
CELLULAR RESPONSE TO X-RAY,1
CELLULAR RESPONSE TO NITROSATIVE STRESS,1
SIGNAL TRANSDUCTION INVOLVED IN MITOTIC G2 DNA DAMAGE CHECKPOINT,1
ESTABLISHMENT OF RNA LOCALISATION TO TELOMERE,1
ESTABLISHMENT OF MACROMOLECULAR COMPLEX LOCALISATION TO TELOMERE,1
POSITIVE REGULATION OF DNA BREAKDOWN,1
DOWN REGULATION OF TELOMERE CAPPING,1
POSITIVE REGULATION OF TELOMERE MAINTENANCE VIA TELOMERE LENGTHENING,1
ACTIVATION OF TERT-TERC COMPLEX ASSEMBLY,1
REGULATION OF CELLULAR RESPONSE TO GAMMA RADIATION,1
C1149070,1
C1323427,1
C1371676,1
C1149285,1
C1152008,1
C1158320,1
PARATHORMONE SECRETION,1
VITAMIN D ANABOLISM,1
NEPHRON ABSORPTION,1
REGULATION OF PARATHORMONE SECRETION,1
CELLULAR BIOPOLYMER BIOSYNTHETIC PROCESS,1
"3',5' CAMP METABOLIC PROCESS",1
PHOSPHATE ION HOMEOSTASIS,1
POSITIVE REGULATION OF INOSITOL PHOSPHATE BIOSYNTHETIC PROCESS,1
RESPONSE TO PARATHYROID HORMONE,1
RESPONSE TO FGF STIMULUS,1
POSITIVE REGULATION OF BONE MARROW CELL PROLIFERATION,1
DOWN REGULATION OF APOPTOSIS IN BONE MARROW,1
POSITIVE REGULATION OF OSTEOCLAST PROLIFERATION,1
DOWN REGULATION OF BONE MINERALIZATION INVOLVED IN BONE MATURATION,1
REGULATION OF IMMUNE CELL MEDIATED CELL DEATH,1
T CELL ANTIGEN PROCESSING AND PRESENTATION,1
POSITIVE REGULATION OF CELLULAR EXTRAVASATION,1
RESPONSE TO SULFUR DIOXIDE,1
RESPONSE TO GONADOTROPIN,1
ADHESION OF SYMBIONT TO HOST,1
ESTABLISHMENT OF ENDOTHELIAL BARRIER,1
T CELL EXTRAVASATION,1
ESTABLISHMENT OF ENDOTHELIAL INTESTINAL BARRIER,1
ESTABLISHMENT OF BLOOD-TESTIS BARRIER,1
REGULATION OF MEMBRANE RUFFLE FORMATION,1
VASOPRESSIN SECRETION,1
DIACYLGLYCEROL ANABOLISM,1
CELL COMMUNICATION,1
ADHERENS JUNCTION ORGANISATION,1
RNA PHOSPHODIESTER BOND HYDROLYSIS,1
C1155394,1
C1156172,1
C1517369,1
C1152749,1
C1149143,1
C1152691,1
C1153422,1
C1513761,1
C1519261,1
DESENSITISATION OF G-PROTEIN COUPLED RECEPTOR PROTEIN SIGNALLING PATHWAY,1
NEGATIVE REGULATION OF THE FORCE OF HEART CONTRACTION BY CHEMICAL SIGNAL,1
"ACETYLCHOLINE RECEPTOR SIGNALLING, MUSCARINIC PATHWAY",1
TACHYKININ RECEPTOR SIGNALING PATHWAY,1
POSITIVE REGULATION OF CATECHOLAMINE SECRETION,1
DOWN REGULATION OF STRIATED MUSCLE CONTRACTION,1
C1160691,1
C1158406,1
C1149160,1
C1160280,1
C1326486,1
C1327633,1
C1323293,1
TRITERPENOID ANABOLISM,1
AUXIN MEDIATED SIGNALING PATHWAY,1
MERISTEM INITIATION,1
LYSINE BREAKDOWN,1
LATERAL ROOT FORMATION,1
AUXIN EFFLUX,1
SAHF FORMATION,1
RESPONSE TO WATER,1
MESONEPHROS DEVELOPMENT,1
RENIN-ANGIOTENSIN CONTROL OF ALDOSTERONE PRODUCTION,1
"RESPONSE TO 3',5' CGMP",1
C1326316,1
ENGULFMENT OF APOPTOTIC CELL,1
ACTIVATION OF TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE KINASE ACTIVITY,1
POSITIVE REGULATION OF CEREBELLAR GRANULE CELL PRECURSOR PROLIFERATION,1
DOWN REGULATION OF SECRETION,1
NEGATIVE REGULATION OF CHOLESTEROL EFFLUX,1
ACTIVATION OF HYALURONAN ANABOLISM,1
POSITIVE REGULATION OF PROTEIN LOCALISATION IN EARLY ENDOSOME,1
GO:0030969,1
CILIARY MOTILITY,1
ACETATE ANABOLISM,1
RNA MODIFICATION,1
REGULATION OF HEDGEHOG SIGNALING PATHWAY,1
N-TERMINAL PEPTIDYL-LYSINE ACETYLATION,1
POSITIVE REGULATION OF TGF-BETA RECEPTOR SIGNALING PATHWAY,1
HISTONE GLUTAMINE METHYLATION,1
C1152525,1
C1149220,1
GO:0072603,1
RESPONSE TO IL-13,1
RESPONSE TO BUTYRATE,1
IMMEDIATE HYPERSENSITIVITY RESPONSE,1
POSITIVE REGULATION OF IMMUNOGLOBULIN PRODUCTION,1
REGULATION OF PROTON TRANSPORT,1
POSITIVE REGULATION OF CCN2 PRODUCTION,1
NEGATIVE REGULATION OF TGF-B PRODUCTION,1
DOWN REGULATION OF LUNG CILIATED CELL DIFFERENTIATION,1
POSITIVE REGULATION OF LUNG GOBLET CELL DIFFERENTIATION,1
POSITIVE REGULATION OF PANCREATIC STELLATE CELL PROLIFERATION,1
REGULATION OF T CELL CYTOKINE PRODUCTION,1
POSITIVE REGULATION OF T-HELPER 1 TYPE IMMUNE RESPONSE,1
ADENYLATE CYCLASE INHIBITOR,1
MONOCYTE EXTRAVASATION,1
T-HELPER 17 CELL CHEMOTAXIS,1
DOWN REGULATION OF EOSINOPHIL DEGRANULATION,1
REGULATION OF T CELL DEVELOPMENT,1
LEUKOCYTE ADHESION TO VASCULAR ENDOTHELIAL CELL,1
POSITIVE REGULATION OF IMMUNE COMPLEX CLEARANCE BY MONOCYTES AND MACROPHAGES,1
INFLAMMATORY RESPONSE TO WOUNDING,1
MACROPHAGE MIGRATION,1
POSITIVE REGULATION OF IMMATURE T CELL MIGRATION,1
"POSITIVE REGULATION OF CD8-POSITIVE, ALPHA-BETA T CELL EXTRAVASATION",1
POSITIVE REGULATION OF ASTROCYTE CHEMOTAXIS,1
C1156204,1
C1158558,1
C1323307,1
C1148748,1
C1148754,1
REPLICATION FORK MAINTENANCE,1
POSTREPLICATION DNA REPAIR,1
REGULATION OF GENE EXPRESSION BY DNA IMPRINTING,1
REGULATION OF TRANSCRIPTION BY RNA POLYMERASE III,1
CENTROSOME CYCLE,1
NEGATIVE REGULATION OF ESTROGEN RECEPTOR SIGNALING PATHWAY,1
REGULATION OF DNA METHYLATION,1
MITOTIC G2/M TRANSITION CHECKPOINT,1
DOWN REGULATION OF CENTRIOLE REPLICATION,1
DOWN REGULATION OF HISTONE H3-K4 METHYLATION,1
DOWN REGULATION OF HISTONE H3-K9 METHYLATION,1
MAINTENANCE OF CELL CYCLE QUIESCENCE,1
POSITIVE REGULATION OF HISTONE H4-K20 METHYLATION,1
SIGNAL TRANSDUCTION INVOLVED IN G2 DNA DAMAGE CHECKPOINT,1
PROTEIN K6-LINKED POLYUBIQUITINATION,1
POSITIVE REGULATION OF HISTONE H3 ACETYLATION AT K9,1
POSITIVE REGULATION OF HISTONE H4 ACETYLATION AT K16,1
C1148712,1
C1156189,1
C1157338,1
VACUOLE FUSION,1
MYELOID DENDRITIC CELL ACTIVATION,1
REGULATION OF TOLERANCE INDUCTION,1
REGULATION OF T CELL MEDIATED IMMUNE RESPONSE TO TUMOR CELL,1
DNA TOPOLOGICAL CHANGE,1
DOWN REGULATION OF RNA POLYMERASE II TRANSCRIPTIONAL PREINITIATION COMPLEX ASSEMBLY,1
REGULATION OF RESTRICTION ENDODEOXYRIBONUCLEASE ACTIVITY,1
DNA GEOMETRIC CHANGE,1
POSITIVE REGULATION OF MISMATCH REPAIR,1
POSITIVE REGULATION OF TLR9 SIGNALING PATHWAY,1
T-HELPER 1 CELL ACTIVATION,1
"DOWN REGULATION OF CD4-POSITIVE, ALPHA BETA T CELL DIFFERENTIATION",1
T-HELPER 1 CELL DEVELOPMENT,1
DNA LIGATION DURING DNA REPAIR,1
POSITIVE REGULATION OF DNA LIGATION,1
NEGATIVE REGULATION OF APOPTOTIC CELL CLEARANCE,1
C1152037,1
C1158467,1
AORTIC VALVE DEVELOPMENT,1
PULMONARY VALVE DEVELOPMENT,1
PROSTAGLANDIN METABOLIC PROCESS,1
DOWN REGULATION OF T CELL ACTIVATION,1
C1326160,1
POSITIVE REGULATION OF INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS,1
CYTOKINE ANABOLISM,1
TLR7 SIGNALING PATHWAY,1
PROTEIN INSERTION INTO MITOCHONDRIAL MEMBRANE INVOLVED IN APOPTOTIC SIGNALING PATHWAY,1
B CELL NEGATIVE SELECTION,1
B CELL HOMEOSTATIC PROLIFERATION,1
ACTIVATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS BY CYTOCHROME C,1
HYPOTHALAMUS DEVELOPMENT,1
ENDOPLASMIC RETICULUM CALCIUM ION CONCENTRATION REDUCTION,1
RELEASE OF MATRIX ENZYMES FROM MITOCHONDRIA,1
REGULATION OF MAMMARY GLAND EPITHELIAL CELL PROLIFERATION,1
MITOCHONDRIAL FISSION DURING APOPTOSIS,1
DEVELOPMENT OF SECONDARY SEXUAL CHARACTERISTICS,1
"PROGRAMMED CELL DEATH, RETINA CELLS",1
POSITIVE REGULATION OF DEVELOPMENTAL PIGMENTATION,1
SPERMATID CELL DIFFERENTIATION,1
POST-EMBRYONIC CAMERA-STYLE EYE MORPHOGENESIS,1
SERTOLI CELL PROLIFERATION,1
POSITIVE REGULATION OF APOPTOTIC PROCESS INVOLVED IN MAMMARY GLAND INVOLUTION,1
IMMATURE T CELL APOPTOSIS,1
MITOCHONDRION MORPHOGENESIS,1
POSITIVE REGULATION OF MITOCHONDRIAL OUTER MEMBRANE PERMEABILIZATION,1
APOPTOTIC CELL DEATH INVOLVED IN PATTERNING OF BLOOD VESSELS,1
REGULATION OF MITOCHONDRIAL MEMBRANE PERMEABILITY INVOLVED IN PROGRAMMED NECROTIC CELL DEATH,1
ACTIVATION OF INOSITOL-REQUIRING TRANSMEMBRANE KINASE/ENDONUCLEASE SIGNAL TRANSDUCTION,1
B CELL RECEPTOR APOPTOTIC SIGNALING PATHWAY,1
C1148632,1
C1325166,1
C1158659,1
OPSIN,1
"PHOTOTRANSDUCTION, VISIBLE LIGHT",1
ABSORPTION OF VISIBLE LIGHT,1
RHODOPSIN MEDIATED PHOTOTRANSDUCTION,1
PROTEIN-CHROMOPHORE LINKAGE,1
REGULATION OF RHODOPSIN MEDIATED SIGNALING PATHWAY,1
PHOTORECEPTOR CELL MAINTENANCE,1
CELLULAR RESPONSE TO LIGHT STIMULUS,1
C1519906,1
C1150657,1
STARCH ANABOLISM,1
GENE CONVERSION,1
RESPONSE TO HMG-COA REDUCTASE INHIBITOR,1
STARCH BREAKDOWN,1
CARDIAC CONDUCTION,1
PROTEIN TARGETING TO LYSOSOME,1
MEMBRANE INVAGINATION,1
NEGATIVE REGULATION OF PLATELET-DERIVED GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,1
DOWN REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,1
REGULATION OF MAP KINASE ACTIVITY,1
C1156548,1
C1158404,1
SECONDARY METABOLIC PROCESS,1
ARACHIDONIC ACID METABOLIC PROCESS,1
COLLAGEN FIBRIL ORGANISATION,1
BETAPDGF RECEPTOR SIGNALING PATHWAY,1
ASCENDING AORTA DEVELOPMENT,1
DESCENDING AORTA DEVELOPMENT,1
ELASTIC FIBER ASSEMBLY,1
MUSCLE FIBER DEVELOPMENT,1
CONNECTIVE TISSUE DEVELOPMENT,1
REGULATION OF RECEPTOR BINDING,1
REGULATION OF BONE DEVELOPMENT,1
REGULATION OF BETAPDGF RECEPTOR SIGNALING PATHWAY,1
C1155080,1
C1149408,1
C1149264,1
C1154578,1
C1523053,1
C1149282,1
C1149290,1
C1155615,1
AMYLOID PRECURSOR PROTEIN METABOLIC PROCESS,1
FILAMENTOUS GROWTH,1
CYTOCHROME C ANABOLISM,1
PROTEIN COMPLEX OLIGOMERIZATION,1
BASAL SYNAPTIC TRANSMISSION,1
ELECTROLYTE HOMEOSTASIS,1
INTERNAL PROTEIN AMINO ACID ACETYLATION,1
RRNA METABOLIC PROCESS,1
POSITIVE REGULATION OF MICROTUBULE POLYMERIZATION,1
REGULATION OF CHROMOSOME ORGANISATION,1
DOWN REGULATION OF KINASE ACTIVITY,1
SG ASSEMBLY,1
POSITIVE REGULATION OF AXON EXTENSION,1
INTRACELLULAR DISTRIBUTION OF MITOCHONDRIA,1
